LADCD,LADNM,LADCD_ACTIVE,LADNM_ACTIVE,UTLACD,UTLANM,CAUTHCD,CAUTHNM,RGNCD,RGNNM,CTRYCD,CTRYNM,EWCD,EWNM,GBCD,GBNM,UKCD,UKNM,Current,LAD20CD,LAD20NM
E07000040,East Devon,E07000040,East Devon,E10000008,Devon,,,E12000009,South West,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E07000040,East Devon
E07000061,Eastbourne,E07000061,Eastbourne,E10000011,East Sussex,,,E12000008,South East,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E07000061,Eastbourne
E07000066,Basildon,E07000066,Basildon,E10000012,Essex,,,E12000006,East of England,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E07000066,Basildon
E07000078,Cheltenham,E07000078,Cheltenham,E10000013,Gloucestershire,,,E12000009,South West,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E07000078,Cheltenham
E07000084,Basingstoke and Deane,E07000084,Basingstoke and Deane,E10000014,Hampshire,,,E12000008,South East,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E07000084,Basingstoke and Deane
E07000095,Broxbourne,E07000095,Broxbourne,E10000015,Hertfordshire,,,E12000006,East of England,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E07000095,Broxbourne
E07000105,Ashford,E07000105,Ashford,E10000016,Kent,,,E12000008,South East,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E07000105,Ashford
E07000117,Burnley,E07000117,Burnley,E10000017,Lancashire,,,E12000002,North West,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E07000117,Burnley
E07000129,Blaby,E07000129,Blaby,E10000018,Leicestershire,,,E12000004,East Midlands,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E07000129,Blaby
E07000136,Boston,E07000136,Boston,E10000019,Lincolnshire,,,E12000004,East Midlands,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E07000136,Boston
E07000143,Breckland,E07000143,Breckland,E10000020,Norfolk,,,E12000006,East of England,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E07000143,Breckland
E06000065,North Yorkshire,E06000065,North Yorkshire,E06000065,North Yorkshire,,,E12000003,Yorkshire and The Humber,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E06000065,North Yorkshire
E07000170,Ashfield,E07000170,Ashfield,E10000024,Nottinghamshire,,,E12000004,East Midlands,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E07000170,Ashfield
E07000177,Cherwell,E07000177,Cherwell,E10000025,Oxfordshire,,,E12000008,South East,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E07000177,Cherwell
E06000066,Somerset,E06000066,Somerset,E06000066,Somerset,,,E12000009,South West,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E06000066,Somerset
E07000192,Cannock Chase,E07000192,Cannock Chase,E10000028,Staffordshire,,,E12000005,West Midlands,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E07000192,Cannock Chase
E07000200,Babergh,E07000200,Babergh,E10000029,Suffolk,,,E12000006,East of England,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E07000200,Babergh
E07000207,Elmbridge,E07000207,Elmbridge,E10000030,Surrey,,,E12000008,South East,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E07000207,Elmbridge
E07000218,North Warwickshire,E07000218,North Warwickshire,E10000031,Warwickshire,,,E12000005,West Midlands,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E07000218,North Warwickshire
E07000223,Adur,E07000223,Adur,E10000032,West Sussex,,,E12000008,South East,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E07000223,Adur
E07000234,Bromsgrove,E07000234,Bromsgrove,E10000034,Worcestershire,,,E12000005,West Midlands,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E07000234,Bromsgrove
E08000001,Bolton,E08000001,Bolton,E08000001,Bolton,E47000001,Greater Manchester,E12000002,North West,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000001,Bolton
E08000002,Bury,E08000002,Bury,E08000002,Bury,E47000001,Greater Manchester,E12000002,North West,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000002,Bury
E08000003,Manchester,E08000003,Manchester,E08000003,Manchester,E47000001,Greater Manchester,E12000002,North West,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000003,Manchester
E08000004,Oldham,E08000004,Oldham,E08000004,Oldham,E47000001,Greater Manchester,E12000002,North West,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000004,Oldham
E08000005,Rochdale,E08000005,Rochdale,E08000005,Rochdale,E47000001,Greater Manchester,E12000002,North West,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000005,Rochdale
E08000006,Salford,E08000006,Salford,E08000006,Salford,E47000001,Greater Manchester,E12000002,North West,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000006,Salford
E08000007,Stockport,E08000007,Stockport,E08000007,Stockport,E47000001,Greater Manchester,E12000002,North West,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000007,Stockport
E08000008,Tameside,E08000008,Tameside,E08000008,Tameside,E47000001,Greater Manchester,E12000002,North West,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000008,Tameside
E08000009,Trafford,E08000009,Trafford,E08000009,Trafford,E47000001,Greater Manchester,E12000002,North West,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000009,Trafford
E08000010,Wigan,E08000010,Wigan,E08000010,Wigan,E47000001,Greater Manchester,E12000002,North West,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000010,Wigan
E08000011,Knowsley,E08000011,Knowsley,E08000011,Knowsley,E47000004,Liverpool City Region,E12000002,North West,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000011,Knowsley
E08000012,Liverpool,E08000012,Liverpool,E08000012,Liverpool,E47000004,Liverpool City Region,E12000002,North West,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000012,Liverpool
E08000013,St. Helens,E08000013,St. Helens,E08000013,St. Helens,E47000004,Liverpool City Region,E12000002,North West,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000013,St. Helens
E08000014,Sefton,E08000014,Sefton,E08000014,Sefton,E47000004,Liverpool City Region,E12000002,North West,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000014,Sefton
E08000015,Wirral,E08000015,Wirral,E08000015,Wirral,E47000004,Liverpool City Region,E12000002,North West,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000015,Wirral
E08000016,Barnsley,E08000016,Barnsley,E08000016,Barnsley,E47000002,Sheffield City Region,E12000003,Yorkshire and The Humber,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000016,Barnsley
E08000017,Doncaster,E08000017,Doncaster,E08000017,Doncaster,E47000002,Sheffield City Region,E12000003,Yorkshire and The Humber,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000017,Doncaster
E08000018,Rotherham,E08000018,Rotherham,E08000018,Rotherham,E47000002,Sheffield City Region,E12000003,Yorkshire and The Humber,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000018,Rotherham
E08000019,Sheffield,E08000019,Sheffield,E08000019,Sheffield,E47000002,Sheffield City Region,E12000003,Yorkshire and The Humber,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000019,Sheffield
E08000020,Gateshead,E08000037,Gateshead,E08000037,Gateshead,E47000010,North East,E12000001,North East,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,FALSE,E08000037,Gateshead
E08000021,Newcastle upon Tyne,E08000021,Newcastle upon Tyne,E08000021,Newcastle upon Tyne,E47000011,North of Tyne,E12000001,North East,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000021,Newcastle upon Tyne
E08000022,North Tyneside,E08000022,North Tyneside,E08000022,North Tyneside,E47000011,North of Tyne,E12000001,North East,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000022,North Tyneside
E08000023,South Tyneside,E08000023,South Tyneside,E08000023,South Tyneside,E47000010,North East,E12000001,North East,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000023,South Tyneside
E08000024,Sunderland,E08000024,Sunderland,E08000024,Sunderland,E47000010,North East,E12000001,North East,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000024,Sunderland
E08000025,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E47000007,West Midlands,E12000005,West Midlands,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000025,Birmingham
E08000026,Coventry,E08000026,Coventry,E08000026,Coventry,E47000007,West Midlands,E12000005,West Midlands,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000026,Coventry
E08000027,Dudley,E08000027,Dudley,E08000027,Dudley,E47000007,West Midlands,E12000005,West Midlands,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000027,Dudley
E08000028,Sandwell,E08000028,Sandwell,E08000028,Sandwell,E47000007,West Midlands,E12000005,West Midlands,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000028,Sandwell
E08000029,Solihull,E08000029,Solihull,E08000029,Solihull,E47000007,West Midlands,E12000005,West Midlands,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000029,Solihull
E08000030,Walsall,E08000030,Walsall,E08000030,Walsall,E47000007,West Midlands,E12000005,West Midlands,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000030,Walsall
E08000031,Wolverhampton,E08000031,Wolverhampton,E08000031,Wolverhampton,E47000007,West Midlands,E12000005,West Midlands,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000031,Wolverhampton
E08000032,Bradford,E08000032,Bradford,E08000032,Bradford,E47000003,West Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000032,Bradford
E08000033,Calderdale,E08000033,Calderdale,E08000033,Calderdale,E47000003,West Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000033,Calderdale
E08000034,Kirklees,E08000034,Kirklees,E08000034,Kirklees,E47000003,West Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000034,Kirklees
E08000035,Leeds,E08000035,Leeds,E08000035,Leeds,E47000003,West Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000035,Leeds
E08000036,Wakefield,E08000036,Wakefield,E08000036,Wakefield,E47000003,West Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E08000036,Wakefield
E09000001,City of London,E09000001,City of London,E09000001,City of London,,,E12000007,London,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E09000001,City of London
E09000002,Barking and Dagenham,E09000002,Barking and Dagenham,E09000002,Barking and Dagenham,,,E12000007,London,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E09000002,Barking and Dagenham
E09000003,Barnet,E09000003,Barnet,E09000003,Barnet,,,E12000007,London,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E09000003,Barnet
E09000004,Bexley,E09000004,Bexley,E09000004,Bexley,,,E12000007,London,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E09000004,Bexley
E09000005,Brent,E09000005,Brent,E09000005,Brent,,,E12000007,London,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E09000005,Brent
E09000006,Bromley,E09000006,Bromley,E09000006,Bromley,,,E12000007,London,E92000001,England,K04000001,England and Wales,K03000001,Great Britain,K02000001,United Kingdom,TRUE,E09000006,Bromley
